Rainfall_mm,Elevation_m,Distance_to_River_km,Land_Cover_Type,Population_Density,Flooded
139.87,579.87,1.57,Forest,1731.0,0
114.47,484.93,0.2,Agriculture,1287.0,0
145.91,311.93,1.29,Agriculture,3380.0,0
180.92,170.61,0.35,Urban,197.0,1
110.63,439.64,4.95,Agriculture,350.0,0
110.63,378.7,8.85,Agriculture,1667.0,0
183.17,479.04,0.23,Urban,1070.0,1
150.7,427.03,9.31,Agriculture,695.0,0
101.22,509.91,2.22,Urban,2980.0,0
141.7,192.95,1.07,Forest,834.0,0
101.46,563.48,0.24,Urban,424.0,0
101.37,339.52,2.08,Forest,1745.0,0
129.68,715.05,4.75,Forest,855.0,0
43.47,162.16,3.68,Agriculture,907.0,0
51.0,647.19,0.15,Urban,1365.0,1
97.51,339.58,0.23,Forest,1403.0,0
79.49,169.72,1.55,Forest,345.0,0
132.57,203.22,1.05,Agriculture,663.0,0
83.68,235.93,0.79,Agriculture,224.0,0
63.51,384.83,0.99,Agriculture,1081.0,0
178.63,404.57,4.88,Agriculture,2757.0,0
110.97,185.26,7.94,Agriculture,359.0,0
122.7,295.13,1.56,Forest,181.0,0
63.01,728.45,7.1,Agriculture,488.0,0
98.22,645.51,1.16,Agriculture,690.0,0
124.44,387.26,1.94,Barren,1412.0,0
73.96,307.6,0.77,Agriculture,633.0,0
135.03,324.01,3.07,Forest,1096.0,0
95.97,422.7,11.59,Urban,552.0,0
108.33,95.44,2.78,Forest,721.0,0
95.93,248.52,1.33,Agriculture,412.0,0
194.09,-33.72,3.13,Forest,301.0,0
119.46,379.84,0.39,Forest,1448.0,0
77.69,429.44,6.59,Agriculture,585.0,0
152.9,203.36,2.1,Forest,1155.0,0
71.17,614.8,1.79,Agriculture,406.0,0
128.35,54.85,2.64,Forest,838.0,0
41.61,7.13,2.94,Forest,82.0,0
66.87,344.89,0.22,Forest,622.0,0
127.87,509.42,3.44,Agriculture,446.0,0
149.54,636.79,0.83,Urban,1865.0,1
126.85,208.22,3.75,Urban,257.0,0
115.37,515.74,5.19,Barren,745.0,0
107.96,292.3,4.89,Urban,1072.0,0
60.86,265.47,2.41,Agriculture,1690.0,0
91.21,476.73,2.2,Agriculture,1533.0,0
101.57,430.46,0.46,Forest,792.0,0
162.28,-15.28,4.48,Agriculture,881.0,0
133.74,595.31,0.95,Urban,1864.0,1
49.48,576.02,2.06,Agriculture,780.0,0
132.96,174.89,1.0,Forest,954.0,0
104.6,379.16,0.43,Agriculture,1905.0,0
92.92,398.81,2.98,Urban,3687.0,0
144.47,352.13,0.17,Agriculture,1016.0,0
161.24,189.94,4.14,Urban,1227.0,1
157.25,165.68,1.15,Urban,1501.0,1
86.43,294.89,0.0,Urban,1893.0,1
107.63,534.55,2.15,Urban,1719.0,0
133.25,408.72,0.14,Agriculture,516.0,0
159.02,225.88,0.97,Urban,1067.0,1
100.83,454.34,3.68,Barren,1727.0,0
112.57,-269.71,0.19,Barren,2167.0,1
75.75,529.75,5.49,Agriculture,746.0,0
72.15,-47.94,0.01,Urban,1048.0,1
152.5,227.51,0.85,Forest,1138.0,1
174.25,76.07,4.05,Agriculture,859.0,0
117.12,41.06,1.14,Forest,1028.0,1
160.14,532.17,0.32,Urban,5169.0,1
134.47,206.46,1.34,Agriculture,722.0,0
94.2,369.3,0.95,Agriculture,767.0,0
134.46,290.62,5.55,Agriculture,160.0,0
181.52,395.41,1.13,Urban,130.0,1
118.57,315.36,4.67,Agriculture,1197.0,0
182.59,43.4,6.67,Urban,1732.0,1
15.21,499.25,1.71,Urban,1519.0,1
152.88,201.25,7.22,Agriculture,405.0,0
123.48,-11.32,1.42,Urban,1457.0,1
108.04,214.38,9.98,Urban,757.0,0
123.67,600.15,0.28,Urban,616.0,0
40.5,470.04,3.48,Agriculture,231.0,0
111.21,230.27,2.04,Agriculture,452.0,0
134.28,230.15,1.47,Agriculture,1217.0,0
179.12,235.67,3.0,Agriculture,1059.0,0
